record_id,source_file,title,authors,year,journal,doi,security_include,security_pass,security_status,security_gates_json,security_reason_cn,exclusion_trigger_codes,decision_reason_cn,confidence,fulltext_chars,attempts
20,00020_2017_interorganizational-dependence-information-transparency-in-interorganizational-information-syste.md,"Interorganizational dependence, information transparency in interorganizational information systems, and supply chain performance",Bangho Cho; Sung Yul Ryoo; Kyung Kyu Kim,2017,European Journal of Information Systems,10.1057/s41303-017-0038-1,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章核心是供应链中组织间信息系统的信息透明度与依赖关系对绩效的影响，属于供应链管理和组织行为研究，未涉及攻击者或任何信息安全攻防环节。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,文章是供应链信息共享的实证研究，没有恶意或对抗行为者，也没有攻击、防御或漏洞检测等安全内容，与攻防安全无关联。,0.98,112521,1
22,00022_2007_short-term-and-total-life-impact-analysis-of-email-worms-in-computer-systems.md,Short Term and Total Life Impact analysis of email worms in computer systems,Insu Park; R. Sharman; H.R. Rao; S. Upadhyaya,2007,Decision Support Systems,10.1016/j.dss.2006.12.014,True,True,core_security_attack_defense,"{""malicious_or_adversarial_actor_central"": true, ""security_damage_scope"": true, ""attack_defense_detection_focus"": true, ""not_excluded_type"": true}",研究核心是邮件蠕虫（恶意代码）的影响评估、分类与早期预测，属于恶意软件威胁的评估与建模。,,文章围绕邮件蠕虫的损害影响进行分类和预测，属于恶意软件攻击的评估与建模，完全符合攻防安全核心定义。,0.98,62485,1
24,00024_2012_shall-we-dance-the-effect-of-information-presentations-on-negotiation-processes-and-outcomes.md,Shall we dance? — The effect of information presentations on negotiation processes and outcomes,Johannes Gettinger; Sabine T. Koeszegi; Mareike Schoop,2012,Decision Support Systems,10.1016/j.dss.2012.01.001,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": true}",本文研究电子谈判支持系统中信息呈现格式对谈判过程与结果的影响，属于决策支持与人机交互研究，不涉及恶意行为者、系统攻击或安全威胁。,NO_MALICIOUS_ACTOR,全文围绕谈判支持系统中的信息可视化和决策行为，无任何攻防安全或恶意对抗行为者要素。,0.97,93082,1
26,00026_2017_increasing-firm-agility-through-the-use-of-data-analytics-the-role-of-fit.md,Increasing firm agility through the use of data analytics: The role of fit,Maryam Ghasemaghaei; Khaled Hassanein; Ofir Turel,2017,Decision Support Systems,10.1016/j.dss.2017.06.004,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",本文研究数据分析使用与企业敏捷性及工具与数据、人员、任务匹配度的关系，完全不涉及恶意行为者或信息安全攻防内容。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,文章为一般企业管理研究，数据分析使用与敏捷性提升无任何攻防安全要素。,1.0,78751,1
28,00028_2008_oddm-a-framework-for-modelbases.md,ODDM: A framework for modelbases,Thadthong Bhrammanee; Vilas Wuwongse,2008,Decision Support Systems,10.1016/j.dss.2007.09.005,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",全文围绕决策支持系统模型库的表示、互操作与执行框架，无任何攻击、漏洞或防御相关内容。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,文章属于决策支持系统模型管理领域，不涉及攻防安全核心定义。,1.0,70551,1
30,00030_2010_classification-by-vertical-and-cutting-multi-hyperplane-decision-tree-induction.md,Classification by vertical and cutting multi-hyperplane decision tree induction,Marco Better; Fred Glover; Michele Samorani,2010,Decision Support Systems,10.1016/j.dss.2009.06.004,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": true}",文章提出垂直与切割多超平面决策树分类模型，是通用数据挖掘与判别分析方法，全文未涉及恶意行为者或信息系统攻击/防御。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,全文核心为通用分类算法的数学规划模型，未研究攻击、威胁检测或安全防御，不满足攻防安全相关性。,0.97,47869,1
34,00034_2020_learning-from-workaround-practices-the-challenge-of-enterprise-system-implementations-in-multina.md,Learning from Workaround Practices: the Challenge of Enterprise System Implementations in Multinational Corporations,Julien Malaurent; Stan Karanasios,2020,Information Systems Journal,10.1111/isj.12272,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章研究企业系统实施中的用户变通实践（workarounds）与组织学习，核心是系统-用户匹配与组织过程，不涉及恶意行为者或信息系统的攻击/防御。,NO_MALICIOUS_ACTOR,全文围绕企业系统实施中的非恶意变通实践和组织学习，没有攻击者或安全威胁，属于一般组织行为研究，不符合攻防安全核心。,0.97,90756,1
38,00038_2014_developing-information-processing-capability-for-operational-agility-implications-from-a-chinese.md,Developing information processing capability for operational agility: implications from a Chinese manufacturer,Pei-Ying Huang; Shan L Pan; Tao Hua Ouyang,2014,European Journal of Information Systems,10.1057/ejis.2014.4,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章研究如何通过信息处理能力实现运营敏捷性，属于组织信息系统与业务管理研究，无任何攻击或安全防御内容。,NO_MALICIOUS_ACTOR | GENERAL_OPTIMIZATION_ONLY,研究核心是运营敏捷性与信息处理能力，不涉及攻防安全。,0.98,98625,1
56,00056_2020_electronic-health-records-and-the-logics-of-care-complementarity-and-conflict-in-the-u-s-healthc.md,Electronic Health Records and the Logics of Care: Complementarity and Conflict in the U.S. Healthcare System,Sean Hansen; A. James Baroody,2020,Information Systems Research,10.1287/isre.2019.0875,False,False,no_security_relevance,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": false, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",全文研究EHR采用与使用对医疗保健实践中制度逻辑的影响，属于组织与制度分析，不涉及恶意行为者、攻击或安全防御。,NO_MALICIOUS_ACTOR,研究核心是EHR对制度逻辑与实践的影响，无任何网络安全攻击或防御要素。,0.98,108367,1
66,00066_2006_access-control-and-audit-model-for-the-multidimensional-modeling-of-data-warehouses.md,Access control and audit model for the multidimensional modeling of data warehouses,Eduardo Fernández-Medina; Juan Trujillo; Rodolfo Villarroel; Mario Piattini,2006,Decision Support Systems,10.1016/j.dss.2005.10.008,False,False,security_peripheral_context,"{""malicious_or_adversarial_actor_central"": false, ""security_damage_scope"": true, ""attack_defense_detection_focus"": false, ""not_excluded_type"": false}",文章提出数据仓库多维建模中的访问控制与审计模型，属于安全方案设计，但未以恶意对抗行为者或其攻击/防御为研究核心，属于一般访问控制方案排除类型。,SCHEME_WITHOUT_ATTACK_MODEL | NO_MALICIOUS_ACTOR,文章核心是访问控制与审计的概念模型设计，而非对恶意攻击或漏洞的检测、防御或评估，属于一般安全方案排除类型。,0.85,86425,1
